"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
5,"control","incongruent","yellow","blue",1,"yellow",0,732,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",2,"blue",1,922,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",3,"blue",1,1594,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",4,"yellow",1,670,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",5,"yellow",1,811,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","red",6,"red",1,1573,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",7,"red",1,774,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","yellow",8,"blue",0,1061,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",9,"red",1,1162,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",10,"red",1,1013,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","blue",11,"blue",1,1298,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","red","yellow",12,"yellow",1,662,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",13,"blue",1,919,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",14,"blue",1,773,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",15,"yellow",1,802,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",16,"red",1,841,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","red",17,"yellow",0,7823,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",18,"yellow",1,1399,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",19,"red",1,826,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",20,"blue",1,713,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","red",21,"yellow",0,781,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","yellow",22,"blue",0,1754,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
